"DocCat","DocSoort","Pad","Filenaam","Referentie","Datum"
"Belastingen","Brief","Belastingen\2016\BEL-BevestigingAutomatischeIncasso(02-11-2016).pdf","BEL-BevestigingAutomatischeIncasso(02-11-2016)","Machtiging automatische incasso","2016-11-02"
"Belastingen","Overzicht","Belastingen\2015\BEL-WetterskipFRL(2015)Aanslag.pdf","BEL-WetterskipFRL(2015)Aanslag","Overzicht aanslag - Automatische incasso","2015-04-30"
"BMN","Overzicht","BMN\2017\BMN(RealDrives)(groepsAnalyse)(27-1-2017).pdf","BMN(RealDrives)(groepsAnalyse)(27-1-2017)","RealDrives - Groepsanalyse projectgroep","2017-03-01"
"BMN","Overzicht","BMN\2014\BMN-BonusAfspraken2015.pdf","BMN-BonusAfspraken2015","Bonues afspraak 2015","2014-06-01"
"BMN","Overzicht","BMN\2017\BMN-RealDrives(Flyer)SturenOpTeamPatroon).pdf","BMN-RealDrives(Flyer)SturenOpTeamPatroon)","RealDrives team drijveren flyer","2017-03-01"
"BMN","Overzicht","BMN\2017\BMN-RealDrivesTest(27-1-2017)((UitslagOpHoofdlijnen).pdf","BMN-RealDrivesTest(27-1-2017)((UitslagOpHoofdlijnen)","Realdrives uitslag Geert","2017-01-11"
"BMN","Overzicht","BMN\2017\BMN-RealDrivesTest(27-1-2017)((UitslagUitwerking).pdf","BMN-RealDrivesTest(27-1-2017)((UitslagUitwerking)","Realdrives uitslag Geert","2017-01-11"
"Motor","Overzicht","Motor\2015\CB500Y(Tenaamstellingsverslag)(26-09-2015).pdf","CB500Y(Tenaamstellingsverslag)(26-09-2015)","Tenaamstelling MJ-FT-76","2015-09-26"
"BMN","Factuur","BMN\1996\COMP-FAK-NVBVermeulen(Deskjet400)(04-11-1996).pdf","COMP-FAK-NVBVermeulen(Deskjet400)(04-11-1996)","HP Deskjet 400 NVB Vermeulen","1996-11-04"
"Hardware","Garantie","Hardware\1996\COMP-Skiltronics-Bullet(25-07-1996).pdf","COMP-Skiltronics-Bullet(25-07-1996)","Skiltronics Bullet Pentium 133","1996-07-25"
"Familie","Brief","Familie\1995\DIV-BriefMammeComperTroubles(22-2-1995).pdf","DIV-BriefMammeComperTroubles(22-2-1995)","Mamme Computertroubles","1995-02-22"
"Geert","Nostalgie","Geert\1990\DIV-DelseyKofferVanWillyVoorSlagenHTS(23-6-1990).pdf","DIV-DelseyKofferVanWillyVoorSlagenHTS(23-6-1990)","Delsey koffer, cadeau van Willy (Fahner)","1990-06-23"
"Fokke","Bevestiging","Fokke\2016\DIV-Fokke-BoardingPass-Belfast(25-5-2016).pdf","DIV-Fokke-BoardingPass-Belfast(25-5-2016)","Berlijn Boarding Pass","2016-05-25"
"Hardware","Folder","Hardware\1998\DIV-Vobis-NVB-PCPrive(07-1998).pdf","DIV-Vobis-NVB-PCPrive(07-1998)","Vobis PC prive (NVB Vermeulen)","1998-07-01"
"Auto","Factuur","Auto\2017\Auto-YoyotaAygo(VerkoopNota)(9-8-2017).pdf","Auto-YoyotaAygo(VerkoopNota)(9-8-2017)","Toyota Aygo Fokke Verkoopnota","2017-08-09"
"Elektronica","Schema","Elektronica\1986\ELEK-(SchemaWekkerRadio)JanVanScorel(1-12-1986).pdf","ELEK-(SchemaWekkerRadio)JanVanScorel(1-12-1986)","Schema Wekker radio(Jan van Scorel)","1986-12-01"
"Elektronica","Overzicht","Elektronica\1980\ELEK-7DigitDisplay(31EWellicht).pdf","ELEK-7DigitDisplay(31EWellicht)","7 Digit Display (31E ?)","1980-01-01"
"Elektronica","Overzicht","Elektronica\1980\ELEK-Blokgolf-TEK545-(1-10-1980).pdf","ELEK-Blokgolf-TEK545-(1-10-1980)","Handelsonderneming Blokgolf Leiden (Tek 545)","1980-10-01"
